product_id,product_title,category,review_text,rating,sentiment
1000849,"VICTORY Professional Wrist Wrap Band , Wrist Strap For Gym and Fitness Wrist Support",Sports & Outdoors,great product provide good support while heavy lifting,5.0,Positive
1000803,Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less DesignÐÒ?ÐÓ®ÐÂ ÐÒ?ÐÓ®ÐÂ (32Alpha007BL),Electronics,ok,4.0,Neutral
1000111,Bajaj DX 2 LW Dry Iron,Tools & Appliances,good but not so goodit little bit heat when use,3.0,Neutral
1000153,"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens????????(Black)",Home & Kitchen,just started,5.0,Neutral
1000881,Women Grey Sling Bag,Fashion,super i like it awesome product thank you flipkart,5.0,Positive
1000355,Inalsa Easy Prep_ 800 W Food Processor??????????(Black),Home & Kitchen,just okmotor doesnt starts until all the parts are fittedthis thing is not good at alldough is not kneading properly,2.0,Negative
1000465,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÐÓ®ÐÂ ÐÓ®ÐÂ (Black),Home & Kitchen,didnt match the expectationdoes the job thanks,2.0,Negative
1000430,"Lakm?? Eyeconic Kajal Twin Pack??????????(Deep Black, 0.7 g)",Home & Kitchen,very bad dont waste ur money,1.0,Negative
1000355,Inalsa Easy Prep_ 800 W Food Processor??????????(Black),Home & Kitchen,dont let the low price fool you into buying it u will regret it within days the product material is of very basic quality kitchen appliances are bound to be robust but this product is quite opposite of that my suggestion put 1000 or 1500 more and buy a product which will stay in your kitchen for sometime,1.0,Negative
1000472,Medaline 250 Watt Ultra Thin Slim Ip66 LED Flood Outdoor Light Cool White Waterproof 200WPack of 1 Flood Light Outdoor LampBlack,Home & Kitchen,ledlighte are not open,2.0,Neutral
1000112,Bajaj GX1 500 W Mixer Grinder,Sports & Outdoors,not good,3.0,Negative
1000701,SONY Mega Bass Xs-Fb162e Coaxial Car Speaker??????(260 W),Electronics,not good quality,1.0,Negative
1000196,DOMS Pencil Smart Kit,Sports & Outdoors,nice product,5.0,Positive
1000531,Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),Electronics,this tv has a big problem with wifi connectiona typical frustration casemi tv 4a pro has issue with connecting to wifi typically 24ghz and 5ghz space if i connect mi tv to personal hotspot of mobile it works fine but if i connect to wifi any wifi ranges from 24ghz and 5ghz space tried with 5 wifi networks its connecting to wifi but shows no internet access even after connecting only 3 to 4 minutes internet will work after that it says wifi has no internet access but,1.0,Negative
1000259,"Flipkart SmartBuy 10W Fast Charger , Compatible with Vivo,Oppo,Gionee,Xiomi,Redmi,realme,infinix,POCO,iphone,Samsung,Mi devices (MicroUSB - Cable Included)?ÐÒÐÒ?ÐÒÐÒ(Black, Cable Included)",Home & Kitchen,the adapter stopped working with in a month,1.0,Negative
1000265,"Flipkart SmartBuy CFXB18 Electric Rice Cooker??????(1.8 L, White, Blue)",Sports & Outdoors,nice looking and good work,5.0,Positive
1000104,Baby Boys  Baby Girls Casual Tshirt ShortsBlue,Fashion,look is very nice but fabric is average quality,3.0,Neutral
1000531,Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),Electronics,worst tv as usual like mi phones mi tvs also having only one plus point which is low price mis only motive is to give all the features in low price anyway thats a good idea but wat about the quality of the products low build quality low remote quality low connectivity quality everything this below average performance display is somewhat good but all other things is worst if u r looking for a android tv dont go for mi you can by vu of course vu is bit costlier,1.0,Negative
1000498,Men Slim Fit Black Cotton Blend Trousers,Home & Kitchen,poor quality color got damaged after using twice stitches were not good its a strechable and using it the pant became loose,1.0,Negative
1000277,Furnifry Wooden Wall Mounted TV StandTV Entertainment UnitTV Cabinet with Utility Shelves for SetTop Box  Decorative ObjectsSetTop Box StandIdeal for Up to 42 Accessories Included Engineered Wood TV Entertainment UnitFinish Color  Black and Brown DIYDoItYourself,Home & Kitchen,nice product but give more instructions about fittings we just stuck with screws,4.0,Negative
