model_A,model_B,statistic,p_value,significant,decision
Multinomial Naive Bayes,Logistic Regression,0.0,0.0625,False,Fail to Reject Null (Insignificant)
Multinomial Naive Bayes,Linear SVC,0.0,0.0625,False,Fail to Reject Null (Insignificant)
Multinomial Naive Bayes,SGD Classifier (Hinge),0.0,0.0625,False,Fail to Reject Null (Insignificant)
Multinomial Naive Bayes,SGD Classifier (Log Loss),0.0,0.0625,False,Fail to Reject Null (Insignificant)
Multinomial Naive Bayes,Random Forest,0.0,0.0625,False,Fail to Reject Null (Insignificant)
Logistic Regression,Linear SVC,0.0,0.0625,False,Fail to Reject Null (Insignificant)
Logistic Regression,SGD Classifier (Hinge),1.0,0.125,False,Fail to Reject Null (Insignificant)
Logistic Regression,SGD Classifier (Log Loss),1.0,0.125,False,Fail to Reject Null (Insignificant)
Logistic Regression,Random Forest,0.0,0.0625,False,Fail to Reject Null (Insignificant)
Linear SVC,SGD Classifier (Hinge),0.0,0.0625,False,Fail to Reject Null (Insignificant)
Linear SVC,SGD Classifier (Log Loss),0.0,0.0625,False,Fail to Reject Null (Insignificant)
Linear SVC,Random Forest,1.0,0.125,False,Fail to Reject Null (Insignificant)
SGD Classifier (Hinge),SGD Classifier (Log Loss),0.0,1.0,False,Fail to Reject Null (Insignificant)
SGD Classifier (Hinge),Random Forest,0.0,0.0625,False,Fail to Reject Null (Insignificant)
SGD Classifier (Log Loss),Random Forest,0.0,0.0625,False,Fail to Reject Null (Insignificant)
